name,institution,country
Shashank Ahire,Leibniz University Hannover,Germany
Matthew Aylett,CereProc Ltd.,UK
Timothy Bickmore,Northeastern University,USA
Zoraida Callejas,University of Granada,Spain
Heloisa Candello,IBM Research,Brazil
Leigh Clark,Swansea University,UK
Benjamin Cowan,University College Dublin,Ireland
Philip Doyle,University College Dublin,Ireland
Mateusz Dubiel,University of Strathclyde,UK
Bernd Dudzik,Delft University of Technology,Netherlands
Justin Edwards,University College Dublin,Ireland
Anna Esposito,University of Campania - Luigi Vanvitelli,Italy
Joel E Fischer,University of Nottingham,UK
Asbjørn Følstad,SINTEF,Norway
Markus Funk,University of Stuttgart,Germany
Diego Garaialde,University College Dublin,Ireland
Emer Gilmartin,Trinity College Dublin,Ireland
Martin Halvey,University of Strathclyde,UK
Kate Hone,Brunel University London,UK
Mohit Jain,Microsoft Research,India
Raquel Justo Blanco,UPV/EHU Universidad del País Vasco,Spain
Soomin Kim,Seoul National University,South Korea
A Baki Kocaballi,Macquarie University,Australia
Dimosthenis Kontogiorgos,KTH,Sweden
Divesh Lala,Kyoto University,Japan
Raina Langevin,University of Washington,USA
Sébastien Le Maguer,Trinity College Dublin,Ireland
Silvia Lovato,Northwestern University,USA
Minha Lee,Eindhoven University of Technology,Netherlands
Michal Luria,Carnegie Mellon University,USA
Moira McGregor,Brunel University London,UK
Donald McMillan,Stockholm University,Sweden
Michael McTear,University of Ulster,UK
Alexander Monz,MCI Management Center Innsbruck,Austria
Bob Moore,IBM Research,USA
Berndt Müller,Swansea University,UK
Cosmin Munteanu,University of Toronto,Canada
Christine Murad,University of Toronto,Canada
Jason Nurse,University of Kent,UK
Pilar Oplustil,University of Edinburgh,UK
Jennifer Pearson,Swansea University,UK
Claudio Pinhanez,IBM Research,Brazil
Martin Porcheron,Swansea University,UK
Stuart Reeves,University of Nottingham,UK
Thomas Reitmaier,Swansea University,UK
Daniel Rough,University of Dundee,UK
Supraja Sankaran,Eindhoven University of Technology,Netherlands
Sergio Sayago,Universitat de Lleida,Spain
Stephan Schlögl,MCI Management Center Innsbruck,Austria
Jaisie Sin,University of Toronto,Canada
Gabriel Skantze,KTH,Sweden
Selina Sutton,Northumbria University,UK
Jessica Szczuka,University Duisburg-Essen,Germany
Ilaria Torre,KTH,Sweden
María Inés Torres,UPV/EHU Universidad del País Vasco,Spain
Johanne R Trippas,The University of Melbourne,Australia
Niels van Berkel,Aalborg University,Denmark
Jelte van Waterschoot,University of Twente,Netherlands
Anthony Ventresque,University College Dublin,Ireland
Sarah Theres Völkel,Ludwig Maximilian University of Munich,Germany
Peter Wallis,Manchester Metropolitan University,UK
Rebecca Weichelt,MCI Management Center Innsbruck,Austria
Benjamin Weiss,TU Berlin,Germany
Maria Klara Wolters,The University of Edinburgh,UK
Yunhan Wu,University College Dublin,Ireland
